Unnamed: 0,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,Unnamed: 2,Unnamed: 3,Unnamed: 4,SheetName,NARKOTİK İLAÇ ÇEKMECESİ,desk üzeri,1. çekmece,desk 1. dolap,1. dolap 1. raf,1. Dolap 2. Raf,1. dolap 3. raf,1. dolap 4. raf,1. dolap 5. raf,2. Dolap 1. Raf,2. dolap 2. raf,2. dolap 3. raf,2. dolap 4. raf,2. dolap 5. raf kutu,3. DOLAP 1. RAF,DOLAP ÜSTÜ 1. KUTU,DOLAP ÜSTÜ 2. KUTU
Sıra,Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,TARİHİ GEÇEN İLAÇLAR,,,,,,,,,,,,,,,,,
9,,2,60,"SKT-2026-08:1 kutu, SKT-2026-10:1 kutu",2d2r,,,,,,,,,,,METPAMID 10 MG 30 TABLET,,,,,,
10,,1,20,SKT-2025-11:1 kutu,2d2r,,,,,,,,,,,ALLERSET 10 MG FILM KAPLI TABLET (20 FILM KAPLI TABLET),,,,,,
11,,1,20,SKT-2025-12:1 kutu,2d2r,,,,,,,,,,,"AVIL 22,7 MG TABLET",,,,,,
12,,1,20,SKT-2026-03:1 kutu,2d2r,,,,,,,,,,,MUSCORIL 4 MG 20 KAPSUL,,,,,,
13,,2,60,SKT-2025-03:2 kutu,2d2r,,,,,,,,,,,CORDARONE BT 200 MG 30 TABLET,,,,,,
14,,2,80,"SKT-2027-08:1 kutu, SKT-2028-01:1 kutu",2d2r,,,,,,,,,,,"TALCID 0,5 GR 40 CIG.TABLETI",,,,,,
15,,1,50,SKT-2025-06:1 kutu,2d2r,,,,,,,,,,,ISORDIL 5 MG SUBLINGUAL 50 TABLET,,,,,,
16,,1,20,SKT-2025-12:1 kutu,2d2r,,,,,,,,,,,BELOC ZOK 25 MG 20 KONT.SAL.FILM TABLETI,,,,,,
17,,2,96,"SKT-2027-04:1 kutu, SKT-2025-05:1 kutu",2d2r,,,,,,,,,,,KAPRIL 25 MG 48 TABLET,,,,,,
18,,1,30,SKT-2025-09:1 kutu,2d2r,,,,,,,,,,,ECOPIRIN 300 MG 30 ENTERIK KAPLI TABLET,,,,,,
19,,1,30,SKT-2026-02:1 kutu,2d2r,,,,,,,,,,,CORASPIN 300 MG 30 TABLET,,,,,,
20,,1,28,SKT-2026-06:1 kutu,2d2r,,,,,,,,,,,NEXIUM 40 MG ENTERIK KAPLI 28 PELLET TABLET,,,,,,
Sıra,,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,2d3r,,,,,,,,,,,,Ürün Adı,,,,,
1,,1,1,SKT-2026-07:1 kutu,2d3r,,,,,,,,,,,,JELGO 50 G JEL,,,,,
2,,1,1,SKT-2027-11:1 kutu,2d3r,,,,,,,,,,,,"FURADERM % 0,2 56 GR POMAD",,,,,
3,,4,80,"SKT-2024-12:2 kutu, SKT-2027-11:1 kutu, SKT-2028-10:1 kutu",2d3r,,,,,,,,,,,,"JETOKAIN 20 MG/ML+0,0125 MG/ML ENJEKSIYONLUK COZELTI",,,,,
4,,2,2,SKT-2024-10:2 kutu,2d3r,,,,,,,,,,,,Clorethyl Soğutucu Sprey,,,,,
5,,2,2,SKT-2026-08:2 kutu,2d3r,,,,,,,,,,,,"TOBSIN % 0,3 5 ML OFTALMIK SOLUSYON",,,,,
6,,1,1,SKT-2025-12:1 kutu,2d3r,,,,,,,,,,,,CITANEST %2 ENJEKSIYONLUK SOLUSYON ICEREN 20 ML 1 FLAKON,,,,,
7,,1,30,SKT-2025-10:1 kutu,2d3r,,,,,,,,,,,,NOVAQUA TEK DOZLUK GOZ DAMLASI 30 FLAKON,,,,,
8,,2,20,SKT-2027-10:2 kutu,2d3r,,,,,,,,,,,,SODYUM BIC.MOL.%8.4 10 ML 10 AMPUL,,,,,
