Sıra,Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,yer,SheetName,Unnamed: 6
4.0,Silikon Foley Sonda 18 FR,1,1,SKT-3000-12:1 kutu,2. dolap 4. raf,2d4r,
5.0,Silikon Foley Sonda 16 FR,2,2,"SKT-3000-12:1 kutu, SKT-2023-11:1 kutu",2. dolap 4. raf,2d4r,
6.0,Laryngeal Mask adult 4,2,1,2017-12-01 00:00:00,2. dolap 4. raf,2d4r,
7.0,Laryngeal Mask pediatric 2,2,1,2017-10-01 00:00:00,2. dolap 4. raf,2d4r,
8.0,Airway Yeşil 3/80,5,5,SKT-3000-12:5 kutu,2. dolap 4. raf,2d4r,
9.0,Airway Kırmızı 5/100,3,3,"SKT-2018-12:1 kutu, SKT-3000-12:2 kutu",2. dolap 4. raf,2d4r,
10.0,Airway Sarı 4/90,2,2,SKT-3000-12:2 kutu,2. dolap 4. raf,2d4r,
11.0,Airway Beyaz 2/70,3,3,SKT-3000-12:3 kutu,2. dolap 4. raf,2d4r,
12.0,Airway Mavi 0/50,1,1,SKT-3000-12:1 kutu,2. dolap 4. raf,2d4r,
13.0,Airway Siyah 1/60,1,1,SKT-3000-12:1 kutu,2. dolap 4. raf,2d4r,
14.0,İdrar Torbası Musluklu 2000 ml.,2,2,SKT-2025-03:2 kutu,2. dolap 4. raf,2d4r,
15.0,Ambu Seti Erişkin,1,1,yok,2. dolap 4. raf,2d4r,
16.0,Ambu Seti Pediatrik,1,1,yok,2. dolap 4. raf,2d4r,
1.0,KAPRIL 25 MG 48 TABLET,3,144,"SKT-2025-09:2 kutu, SKT-2025-05:1 kutu",2. dolap 5. raf kutu,2d5r,
2.0,BUSCOPAN 20 MG/ML ENJEKSIYONLUK COZELTI (6 AMPUL),2,12,SKT-2025-10:2 kutu,2. dolap 5. raf kutu,2d5r,
3.0,"ZADITEN % 0,025 STERIL GOZ DAMLASI 5 ML",1,1,SKT-2025-07:1 kutu,2. dolap 5. raf kutu,2d5r,
4.0,A-FERIN SINUS 20 FILM TABLET,2,40,SKT-2025-09:2 kutu,2. dolap 5. raf kutu,2d5r,
5.0,KATARIN 250 MG/100 MG/2 MG 30 KAPSUL,1,30,SKT-2025-11:1 kutu,2. dolap 5. raf kutu,2d5r,
6.0,NEXIUM 40 MG ENTERIK KAPLI 28 PELLET TABLET,2,56,SKT-2026-06:2 kutu,2. dolap 5. raf kutu,2d5r,
7.0,BRUFEN 400 MG 20 FILM TABLET,1,20,SKT-2026-09:1 kutu,2. dolap 5. raf kutu,2d5r,
8.0,"NETIRA %0,3 GOZ DAMLASI, COZELTI (5 ML)",1,1,SKT-2026-09:1 kutu,2. dolap 5. raf kutu,2d5r,
9.0,CALPOL 120 MG 150 ML SUSPANSIYON,1,1,SKT-2026-09:1 kutu,2. dolap 5. raf kutu,2d5r,
10.0,PAROL 500 MG 30 TABLET,5,150,"SKT-2026-12:1 kutu, SKT-2028-10:4 kutu",2. dolap 5. raf kutu,2d5r,
11.0,ETOL FORT 400 MG 14 FILM TABLET,1,14,SKT-2026-11:1 kutu,2. dolap 5. raf kutu,2d5r,
12.0,DIKLORON 25 MG 30 FILM TABLET,4,120,SKT-2027-01:4 kutu,2. dolap 5. raf kutu,2d5r,
13.0,"TALCID 0,5 GR 40 CIG.TABLETI",6,240,SKT-2027-08:6 kutu,2. dolap 5. raf kutu,2d5r,
14.0,MAJEZIK 100 MG 15 FILM TABLET,4,60,"SKT-2027-09:3 kutu, SKT-2028-09:1 kutu",2. dolap 5. raf kutu,2d5r,
15.0,Aspirasyon Sondası Siyah 10 ch,1,1,SKT-2018-10:1 kutu,2. dolap 5. raf kutu,2d5r,
16.0,Aspirasyon Sondası Turuncu 16 ch,1,1,SKT-2020-08:1 kutu,2. dolap 5. raf kutu,2d5r,
17.0,Aspirasyon Sondası Yeşil 08 ch,2,2,"SKT-2020-11:1 kutu, SKT-3000-12:1 kutu",2. dolap 5. raf kutu,2d5r,
18.0,Aspirasyon Sondası Mavi  08 ch,2,2,2018-02-01 00:00:00,2. dolap 5. raf kutu,2d5r,
19.0,Nazal Oksijen Kanülü Pediatric/Çocuk,4,4,"SKT-2015-12:2 kutu, SKT-3000-12:2 kutu",2. dolap 5. raf kutu,2d5r,
20.0,Oksijen Maskesi Erişkin,4,4,SKT-3000-12:4 kutu,2. dolap 5. raf kutu,2d5r,
21.0,Nazal Oksijen Kanülü Adult/Yetişkin,16,16,"SKT-2020-04:8 kutu, SKT-3000-12:8 kutu",2. dolap 5. raf kutu,2d5r,
22.0,ambu maskesi yetişkin,4,1,yok,2. dolap 5. raf kutu,2d5r,
23.0,ambu maskesi çocuk,2,1,yok,2. dolap 5. raf kutu,2d5r,
1.0,NAZAL OKSİJEN KANÜLÜ YETİŞKİN,16,16,"SKT-2024-03:4 kutu, SKT-2026-07:2 kutu, SKT-2027-09:10 kutu",3. DOLAP 1. RAF,3d1r,
2.0,NAZAL OKSİJEN KANÜLÜ ÇOCUK/PEDİATRİC,7,7,SKT-2027-03:7 kutu,3. DOLAP 1. RAF,3d1r,
3.0,HAZNELİ OKSİJEN MASKESİ YETİŞKİN,17,17,"SKT-2026-11:15 kutu, SKT-2026-08:1 kutu, SKT-2025-09:1 kutu",3. DOLAP 1. RAF,3d1r,
